N ;K ;Answer First ;Time First ;;Answer Second ;Time Second 
28;4;If a person plays optimally, he will win;0.133;;If a person plays optimally, he will win;0
28;5;If a person plays optimally, he will win;0.167;;If a person plays optimally, he will win;0
28;6;If a person plays optimally, he will win;0.137;;If a person plays optimally, he will win;0
28;7;If a person plays optimally, he will win;0.144;;If a person plays optimally, he will win;0
28;8;If a person plays optimally, he will win;0.141;;If a person plays optimally, he will win;0
28;9;If a person plays optimally, he will win;0.135;;If a person plays optimally, he will win;0
28;10;If a person plays optimally, he will win;0.135;;If a person plays optimally, he will win;0.001
28;11;If a person plays optimally, he will win;0.134;;If a person plays optimally, he will win;0
28;12;If a person plays optimally, he will win;0.137;;If a person plays optimally, he will win;0
28;13;If a person plays optimally, he will win;0.142;;If a person plays optimally, he will win;0
28;14;If a person plays optimally, he will win;0.14;;If a person plays optimally, he will win;0
28;15;If a person plays optimally, he will win;0.139;;If a person plays optimally, he will win;0
28;16;If a person plays optimally, he will win;0.139;;If a person plays optimally, he will win;0
28;17;If a person plays optimally, he will win;0.138;;If a person plays optimally, he will win;0
28;18;If a person plays optimally, he will win;0.14;;If a person plays optimally, he will win;0
28;19;If a person plays optimally, he will win;0.141;;If a person plays optimally, he will win;0
28;20;If a person plays optimally, he will win;0.139;;If a person plays optimally, he will win;0
28;21;If a person plays optimally, he will win;0.139;;If a person plays optimally, he will win;0
28;22;If a person plays optimally, he will win;0.137;;If a person plays optimally, he will win;0
28;23;If a person plays optimally, he will win;0.135;;If a person plays optimally, he will win;0.001
28;24;If a person plays optimally, he will win;0.136;;If a person plays optimally, he will win;0.001
28;25;If a person plays optimally, he will win;0.14;;If a person plays optimally, he will win;0
28;26;If a person plays optimally, he will win;0.147;;If a person plays optimally, he will win;0
28;27;If a person plays optimally, he will win;0.144;;If a person plays optimally, he will win;0
28;28;If a person plays optimally, he will win;0;;If a person plays optimally, he will win;0.001
29;2;The computer win;0.154;;The computer win;0
29;3;The computer win;0.203;;The computer win;0
29;4;If a person plays optimally, he will win;0.288;;If a person plays optimally, he will win;0
29;5;If a person plays optimally, he will win;0.294;;If a person plays optimally, he will win;0
29;6;If a person plays optimally, he will win;0.347;;If a person plays optimally, he will win;0
29;7;If a person plays optimally, he will win;0.296;;If a person plays optimally, he will win;0
29;8;If a person plays optimally, he will win;0.281;;If a person plays optimally, he will win;0
29;9;If a person plays optimally, he will win;0.252;;If a person plays optimally, he will win;0
29;10;If a person plays optimally, he will win;0.258;;If a person plays optimally, he will win;0
29;11;If a person plays optimally, he will win;0.265;;If a person plays optimally, he will win;0
29;12;If a person plays optimally, he will win;0.262;;If a person plays optimally, he will win;0
29;13;If a person plays optimally, he will win;0.252;;If a person plays optimally, he will win;0
29;14;If a person plays optimally, he will win;0.255;;If a person plays optimally, he will win;0
29;15;If a person plays optimally, he will win;0.261;;If a person plays optimally, he will win;0
29;16;If a person plays optimally, he will win;0.253;;If a person plays optimally, he will win;0
29;17;If a person plays optimally, he will win;0.268;;If a person plays optimally, he will win;0.001
29;18;If a person plays optimally, he will win;0.26;;If a person plays optimally, he will win;0.001
29;19;If a person plays optimally, he will win;0.259;;If a person plays optimally, he will win;0
29;20;If a person plays optimally, he will win;0.266;;If a person plays optimally, he will win;0
29;21;If a person plays optimally, he will win;0.293;;If a person plays optimally, he will win;0
